GEOID,NAME,variable,estimate,moe,total
27205,ZCTA5 27205,income,34805,1321,1500
27207,ZCTA5 27207,income,3227,490,0
27208,ZCTA5 27208,income,1721,339,0
27209,ZCTA5 27209,income,4584,958,0
27212,ZCTA5 27212,income,2196,450,0
27214,ZCTA5 27214,income,11825,1087,5000
27215,ZCTA5 27215,income,42331,1097,2991.25
27217,ZCTA5 27217,income,37099,1280,0
27229,ZCTA5 27229,income,3484,792,0
27231,ZCTA5 27231,income,2020,233,0
27233,ZCTA5 27233,income,4096,647,0
27235,ZCTA5 27235,income,4443,571,3800
27239,ZCTA5 27239,income,9562,961,0
27242,ZCTA5 27242,income,1366,471,0
27243,ZCTA5 27243,income,4369,666,0
27244,ZCTA5 27244,income,16036,740,0
27248,ZCTA5 27248,income,3555,587,0
27249,ZCTA5 27249,income,11882,1015,0
27252,ZCTA5 27252,income,1669,489,0
27253,ZCTA5 27253,income,30573,818,750
27258,ZCTA5 27258,income,7370,697,0
27260,ZCTA5 27260,income,25505,984,142.5
27262,ZCTA5 27262,income,24510,1299,800
27263,ZCTA5 27263,income,21886,925,0
27265,ZCTA5 27265,income,51477,1526,461.25
27278,ZCTA5 27278,income,26884,1163,6015
27281,ZCTA5 27281,income,3433,674,0
27282,ZCTA5 27282,income,17090,1089,400
27283,ZCTA5 27283,income,3194,487,0
27284,ZCTA5 27284,income,55489,1397,10
27288,ZCTA5 27288,income,23436,726,0
27291,ZCTA5 27291,income,1616,566,0
27292,ZCTA5 27292,income,39360,1156,0
27295,ZCTA5 27295,income,38255,1389,0
27298,ZCTA5 27298,income,10925,849,150
27299,ZCTA5 27299,income,6172,892,0
27301,ZCTA5 27301,income,9358,1218,0
27302,ZCTA5 27302,income,31280,1413,2952.5
27305,ZCTA5 27305,income,1624,274,0
27306,ZCTA5 27306,income,6428,522,0
27310,ZCTA5 27310,income,7253,318,1650
27311,ZCTA5 27311,income,3521,465,0
27312,ZCTA5 27312,income,20508,956,44290
27313,ZCTA5 27313,income,6733,636,0
27314,ZCTA5 27314,income,956,307,0
27315,ZCTA5 27315,income,1763,320,0
27316,ZCTA5 27316,income,8369,919,0
