contributor_zip,total,NAME,variable,estimate,moe
27608,66435,ZCTA5 27608,income,11203,606
27609,74425.21,ZCTA5 27609,income,33575,1400
27610,1276.25,ZCTA5 27610,income,79924,2136
27612,8595,ZCTA5 27612,income,39989,1417
27613,13469.25,ZCTA5 27613,income,42324,1398
27614,13678,ZCTA5 27614,income,32849,1177
27615,19790,ZCTA5 27615,income,43950,1266
27616,7497.5,ZCTA5 27616,income,55128,2147
27617,6213.57,ZCTA5 27617,income,20281,920
27701,3265,ZCTA5 27701,income,23112,1186
27703,1011,ZCTA5 27703,income,53733,2036
27704,353.75,ZCTA5 27704,income,40392,2027
27705,3783.25,ZCTA5 27705,income,49508,1523
27707,12623,ZCTA5 27707,income,51414,2005
27712,1272,ZCTA5 27712,income,21301,1023
27713,13810,ZCTA5 27713,income,54348,1518
27801,5557.5,ZCTA5 27801,income,20065,565
27803,3715,ZCTA5 27803,income,17905,1143
27804,5808.75,ZCTA5 27804,income,29519,912
27808,2150,ZCTA5 27808,income,2066,276
27809,550,ZCTA5 27809,income,4747,649
27810,1380,ZCTA5 27810,income,4045,596
27812,4000,ZCTA5 27812,income,2686,568
27817,2225,ZCTA5 27817,income,7614,843
27822,250,ZCTA5 27822,income,8225,739
27830,250,ZCTA5 27830,income,4547,608
27834,8705,ZCTA5 27834,income,57258,1613
27837,5,ZCTA5 27837,income,7075,956
27839,650,ZCTA5 27839,income,3479,404
27842,1418.75,ZCTA5 27842,income,1446,188
27850,2000,ZCTA5 27850,income,7410,512
27855,200,ZCTA5 27855,income,6066,582
27856,959,ZCTA5 27856,income,17258,1142
27857,205,ZCTA5 27857,income,1037,206
27858,29621.25,ZCTA5 27858,income,59182,1689
27860,1000,ZCTA5 27860,income,1663,413
27871,675,ZCTA5 27871,income,4293,461
27874,950,ZCTA5 27874,income,3837,493
27882,45,ZCTA5 27882,income,7972,937
27883,220,ZCTA5 27883,income,2850,396
27886,1297.5,ZCTA5 27886,income,20280,644
27889,3472.5,ZCTA5 27889,income,26637,954
27891,580,ZCTA5 27891,income,5036,538
27892,2550,ZCTA5 27892,income,14217,536
27893,250,ZCTA5 27893,income,39531,1258
27896,5900,ZCTA5 27896,income,20791,1302
27909,2766.25,ZCTA5 27909,income,39551,34
27915,400,ZCTA5 27915,income,421,181
27921,618.75,ZCTA5 27921,income,4750,600
27927,700,ZCTA5 27927,income,947,163
27932,5400,ZCTA5 27932,income,12129,420
27944,1850,ZCTA5 27944,income,11756,471
27948,8425,ZCTA5 27948,income,11245,480
27949,16908,ZCTA5 27949,income,7648,182
27950,25,ZCTA5 27950,income,2048,295
27954,6550,ZCTA5 27954,income,7938,490
27957,450,ZCTA5 27957,income,1143,426
27958,500,ZCTA5 27958,income,11354,612
27959,3875.22,ZCTA5 27959,income,2938,22
27962,900,ZCTA5 27962,income,7696,551
27966,950,ZCTA5 27966,income,818,267
27968,265,ZCTA5 27968,income,141,96
27970,120,ZCTA5 27970,income,2446,465
27980,2625,ZCTA5 27980,income,2018,452
27981,2900,ZCTA5 27981,income,1732,281
28001,4250,ZCTA5 28001,income,26557,655
28012,5067,ZCTA5 28012,income,23830,868
28016,400,ZCTA5 28016,income,13405,651
28021,2201.25,ZCTA5 28021,income,14408,801
28023,1615,ZCTA5 28023,income,16129,1112
28025,8261.25,ZCTA5 28025,income,54425,1778
28027,3937.5,ZCTA5 28027,income,68716,1783
28031,9829,ZCTA5 28031,income,28077,569
28032,1750,ZCTA5 28032,income,3245,254
28034,650,ZCTA5 28034,income,17386,966
28036,730,ZCTA5 28036,income,18266,622
28037,1749,ZCTA5 28037,income,20619,778
28043,500,ZCTA5 28043,income,20339,1069
28054,2509,ZCTA5 28054,income,37876,1140
28056,4493.75,ZCTA5 28056,income,34373,1064
28071,640,ZCTA5 28071,income,2667,484
28075,100,ZCTA5 28075,income,19099,556
28078,7045.22,ZCTA5 28078,income,61043,974
28079,24,ZCTA5 28079,income,37694,1035
28080,825,ZCTA5 28080,income,7857,796
28081,10,ZCTA5 28081,income,28116,1284
28083,1975,ZCTA5 28083,income,25536,1218
28086,2572.5,ZCTA5 28086,income,25436,1022
28090,350,ZCTA5 28090,income,7820,752
28092,3059,ZCTA5 28092,income,40517,1326
28097,388,ZCTA5 28097,income,6078,406
28103,3723.92,ZCTA5 28103,income,11281,861
28104,1985,ZCTA5 28104,income,31773,763
28105,1833.75,ZCTA5 28105,income,46180,1095
28107,750,ZCTA5 28107,income,8024,758
28110,3535,ZCTA5 28110,income,53733,1089
28112,13037.5,ZCTA5 28112,income,26831,1172
28114,600,ZCTA5 28114,income,7475,1000
28115,880,ZCTA5 28115,income,37673,1310
28117,26907,ZCTA5 28117,income,40855,1109
28120,600,ZCTA5 28120,income,21582,814
28124,500,ZCTA5 28124,income,5946,567
28127,5900,ZCTA5 28127,income,7704,589
28128,1150,ZCTA5 28128,income,7519,612
28129,15,ZCTA5 28129,income,5416,476
28134,15000,ZCTA5 28134,income,11037,509
28139,651,ZCTA5 28139,income,20467,1036
28144,700,ZCTA5 28144,income,24858,1000
28146,1100,ZCTA5 28146,income,28420,1245
28147,250,ZCTA5 28147,income,23495,1021
28150,4856,ZCTA5 28150,income,26965,1384
28160,100,ZCTA5 28160,income,3825,182
28163,2500,ZCTA5 28163,income,5275,448
28164,1167.5,ZCTA5 28164,income,15623,675
28166,325,ZCTA5 28166,income,9651,605
28173,65520.75,ZCTA5 28173,income,59559,1098
28202,24500,ZCTA5 28202,income,13498,765
28203,1233,ZCTA5 28203,income,16655,742
28205,5,ZCTA5 28205,income,48798,1441
28207,45886,ZCTA5 28207,income,9986,604
28208,150,ZCTA5 28208,income,40284,2029
28209,4721.86,ZCTA5 28209,income,23533,997
28210,37362.34,ZCTA5 28210,income,48333,1448
28211,18778,ZCTA5 28211,income,31121,1056
28212,102,ZCTA5 28212,income,47903,1716
28213,3678.75,ZCTA5 28213,income,43099,1437
28214,1375,ZCTA5 28214,income,42412,1869
28215,670,ZCTA5 28215,income,62543,1920
28216,635,ZCTA5 28216,income,49849,1988
28217,16127.54,ZCTA5 28217,income,30082,1328
28226,31023,ZCTA5 28226,income,39796,1110
28227,3840,ZCTA5 28227,income,57336,1663
28262,1101,ZCTA5 28262,income,43209,1667
28269,4160,ZCTA5 28269,income,77248,1886
28270,3720,ZCTA5 28270,income,36086,1341
28273,50100,ZCTA5 28273,income,41170,1747
28277,33341,ZCTA5 28277,income,72132,1385
28278,6730,ZCTA5 28278,income,29347,1357
28301,500,ZCTA5 28301,income,16929,593
28303,13530,ZCTA5 28303,income,29888,1100
28304,4035,ZCTA5 28304,income,36682,1040
28305,3753.75,ZCTA5 28305,income,5751,370
28306,1768.75,ZCTA5 28306,income,42973,1616
28311,2751.5,ZCTA5 28311,income,35334,1168
28312,3750,ZCTA5 28312,income,19761,1138
28314,1180,ZCTA5 28314,income,58827,1167
28315,5950,ZCTA5 28315,income,13303,944
28323,300,ZCTA5 28323,income,4207,572
28326,2681.5,ZCTA5 28326,income,24217,1374
28327,10092.1,ZCTA5 28327,income,17013,1023
28328,7628,ZCTA5 28328,income,27372,1139
28334,1096,ZCTA5 28334,income,23410,1071
28337,250,ZCTA5 28337,income,10574,870
28339,150,ZCTA5 28339,income,7432,528
28340,205,ZCTA5 28340,income,10075,602
28348,1671.5,ZCTA5 28348,income,35721,1411
28349,16320,ZCTA5 28349,income,2598,610
28352,1450,ZCTA5 28352,income,25575,497
28356,45,ZCTA5 28356,income,4819,502
28358,12775,ZCTA5 28358,income,38858,945
