contributor_zip,estimate,total
28071,2752,640
28075,19654,100
28078,64000,7045.22
28079,40990,24
28080,7387,825
28081,29421,10
28083,25109,1975
28086,26490,2572.5
28090,8649,350
28092,40491,3059
28097,6085,388
28103,11233,3723.92
28104,31803,1985
28105,47292,1833.75
28107,8322,750
28110,54912,3535
28112,27580,13037.5
28114,7194,600
28115,36978,880
28117,41912,26907
28120,21624,600
28124,6794,500
28127,7227,5900
28128,7641,1150
28129,5772,15
28134,10766,15000
28139,20948,651
28144,25486,700
28146,30212,1100
28147,23162,250
28150,27400,4856
28160,3902,100
28163,5347,2500
28164,15709,1167.5
28166,10576,325
28173,58565,65520.75
28202,14153,24500
28203,17587,1233
28205,50461,5
28207,10294,45886
28208,41893,150
28209,24373,4721.86
28210,48715,37362.34
28211,31510,18778
28212,46770,102
28213,45086,3678.75
28214,40105,1375
28215,64293,670
28216,49103,635
28217,31951,16127.54
28226,38957,31023
28227,58813,3840
28262,47940,1101
28269,79059,4160
28270,34958,3720
28273,45179,50100
28277,70193,33341
28278,29919,6730
28301,16981,500
28303,30605,13530
28304,35605,4035
28305,5720,3753.75
28306,43300,1768.75
28311,35534,2751.5
28312,19892,3750
28314,59189,1180
28315,13804,5950
28323,4125,300
28326,23854,2681.5
28327,17406,10092.1
28328,27016,7628
28334,23091,1096
28337,10611,250
28339,7237,150
28340,10695,205
28348,37073,1671.5
28349,3541,16320
28352,24677,1450
28356,4595,45
28358,39102,12775
28363,1623,3100
28365,15872,1100
28371,5827,18
28374,17794,43782
28376,45895,1361.25
28377,12831,600
28379,25663,10
28382,7879,8
28385,2012,6950
28386,5936,15
28387,15110,5700
28390,24794,900
28394,6110,1450
28395,2171,600
28398,8856,2500
28401,24764,640
28403,42319,19111.25
28405,33344,17553.75
28409,36070,16997.5
28411,38112,38490.27
28412,38882,4980
28420,4157,3350
28422,8598,833.75
28425,11433,1010
28428,6634,13120
28429,8116,40
28432,1371,175
28443,24778,7009.32
28445,7288,255
28451,37414,4580.22
28457,10967,100
28458,6357,50
28460,10831,700
28461,22421,6582
28462,13140,825
28463,8732,10
28465,7750,1302.5
28466,9172,3125
28467,12115,790
28468,4388,1485
28469,6997,5325
28470,12271,590
28472,18673,1325
28478,4803,350
28480,2592,1600
28501,18630,733.75
28504,20665,4900
28510,1395,2850
28512,3305,1000
28513,9913,550
28516,11546,10522
28523,2672,750
28529,1979,1050
28530,6455,60
28532,22187,1400
28538,2135,550
28539,16365,37.5
28540,49417,9478.7
28546,47681,10547
28557,15147,13150
28560,27928,3073
28562,37185,10288
28570,21139,830
28571,2690,4475
28572,7418,1150
28574,19020,4625.9
28580,13084,600
28582,2218,55
28584,13768,9792
28590,25648,6275
28594,3691,6035
28601,50265,36920
28602,29467,1695
28604,7325,850
28605,3538,2450
28607,36347,2405.5
28612,12274,250
28613,22728,763
28617,1526,600
28621,9583,100
28625,40127,12550.25
28630,19987,5800
28636,4217,1200
28638,12454,850
28640,4718,250
28643,4303,250
28644,1045,100
28645,46972,586.25
28646,393,2100
28650,10652,1050
28655,55375,2255
28658,27818,478.75
28660,2109,120
28669,2849,20
28673,6573,875
28675,7134,500
28677,34710,300
28678,5804,950
28681,27820,2650
28690,9696,415
28693,1630,900
28694,7305,750
28704,20606,2000
28711,13018,1450
28712,19842,11955
28713,9094,2090
28714,16918,3073.5
28715,26451,900
28716,18095,1820
28717,1933,2000
28719,7404,400
28721,10394,200
28726,3953,7.5
28731,9079,2390
28732,18575,24850
28734,28315,700
28739,21116,7150
28740,851,30
28741,3714,1730
28742,3159,1400
28746,2575,5
28747,2267,1000
28751,3812,460
28752,31690,1110
28754,10720,90.9
28759,7671,436.25
28761,6742,100
28766,1140,20855
28768,7923,8928
28771,8113,300
28772,1210,375
28774,1066,100
28777,10546,600
28778,10931,1202
28779,19292,1087.5
28782,6894,494
28785,7713,909
28786,21373,6800
28787,21083,258.5
28790,3581,2510
28791,14978,111.25
28792,34670,1930.47
28801,13792,500
28803,34126,9268.52
28804,22959,100
28805,19600,27.5
28806,42901,1030
28904,9523,5605
28906,19665,4249.66
28909,836,410
29038,2280,15
29039,3863,20.5
29054,9179,11.25
29154,27443,225
29206,18676,500
29209,35206,900
29440,26790,11.25
29485,60383,5
29605,38808,2000
29607,40933,200
29615,37349,9609
29626,13847,10
29651,51262,23
29661,5684,20000
29676,5748,10000
29697,14421,5
29707,34022,250
29708,38452,3004.5
30009,18625,3.75
30067,46482,1000
30215,36953,1.25
30223,36797,1
30238,39310,3.75
30327,23059,22907.5
30331,65996,0.75
30338,35680,1.25
30548,19828,13.5
30554,8486,1
30605,41388,2500
30643,15487,7.5
30721,52658,2.75
30736,43639,12
30747,15807,2.5
30808,4561,60
30813,45485,0.75
30907,51428,1020
31061,42625,151.25
31093,25488,20
31204,31055,10
31216,17267,11.25
31408,10554,420
31419,58483,300
31522,16777,250
32034,38189,994.5
32055,16313,13.25
32065,37905,75
32080,22237,10000
32162,55828,3.75
32202,6965,2.5
32207,35659,1000
32223,24615,4600
32257,39154,12
32605,26305,22.5
32680,10428,20
32757,29295,1650
32789,25767,1700
32940,43046,10
32962,25229,0.5
32963,15383,27900
33026,32882,1
33040,34401,10000
33063,54916,3.75
33126,50886,270
33131,20558,10000
33139,38488,462.5
33140,21248,20000
33175,52885,2.5
33301,15250,10000
33308,27226,2.5
33312,55149,10.5
33316,10447,280
33331,25829,8.75
33401,30315,7100
33408,18251,30600
33418,41737,2000
33431,23329,9607.71
33432,21017,10000
33436,46812,2500
33441,27963,33.75
33469,14848,14600
33477,12875,45
33480,10631,12711.77
33487,20794,20
33542,22744,11.25
33584,27006,5
33605,17945,5800
33606,21789,10000
33618,28544,10
33776,13043,1.25
33809,30646,6.25
33830,30242,15
33853,11674,3.75
33860,28372,14.25
33901,22907,26.25
33904,31388,3.75
33950,23948,15
33955,10645,8.75
33976,16933,824
34102,11930,913.27
34103,12848,250
34202,23759,16.5
34223,18500,321.25
34231,32762,13.5
34285,18117,11.25
34433,6998,46
34461,12154,27
34480,21173,13.5
34481,21462,400
34638,30182,6
34668,48452,6
34689,27428,17
34711,61189,10
34984,17072,11.25
35058,9216,15
35210,13955,2900
35406,18391,2000
35613,25936,7.5
35953,6944,15
35957,15861,15
35976,17655,22.5
36258,1258,15
36544,11523,3.75
36804,20356,750
37064,60272,1.25
37087,48478,22.5
37122,61002,3.75
37130,57068,1.25
37205,23680,11200
37206,27055,8.75
37215,23044,11.25
37221,41736,11.25
37363,41503,10000
37406,14259,450
37618,13592,250
37683,13496,24
37769,5839,3.75
37804,27040,62.75
37830,29569,8.75
37860,3613,12.5
37861,8980,7.2
37931,28440,210
38242,20274,23
39042,36793,9
39157,24811,2
39470,11978,31.5
39482,11369,6.55
39501,23807,5
39532,37837,48
39740,5951,17.5
40475,63422,10
40511,33801,8.75
40601,51306,15
42141,31455,7.5
42634,2023,4.5
43055,62215,26.25
43081,65592,25
43145,2154,18.75
43146,13356,8.75
43302,54413,400
43338,10483,12.5
44622,18152,7.5
44691,45210,5.75
44706,16720,15
44720,38137,3.75
45040,56068,350
45239,29684,20
45429,25494,90.5
45680,12897,37.5
45891,14824,4.5
46034,6543,11.25
46074,37070,15
46163,13530,50
46224,37197,1.88
46368,38503,3.75
46375,23400,10
46514,41073,90
46590,4902,27
46746,4598,11.25
47304,31992,9
47362,29260,16.5
47630,36863,52.5
47712,26921,30.25
47905,42907,18.75
47963,2305,8.75
48023,5089,11.25
48038,44322,58.5
48042,31558,3.75
48182,22638,12.5
48184,17040,3.75
48187,49919,750
48226,7324,3000
48236,29592,10000
48313,33600,102.5
48706,38628,24
48768,9245,7.5
48858,50340,59.25
49031,8224,15
49065,6355,10
49098,6447,37.5
49127,11012,22.5
49302,9216,15
49315,23116,11.25
49644,2104,11.25
49735,19865,5
50023,40518,30
50063,2424,11.25
50129,5119,25
50266,30515,7.5
50501,27881,15
52160,1003,15
52246,23233,30
52722,37835,3.75
53051,37668,1517
53562,26490,5270
53959,13717,22.5
54016,32171,5600
54302,31670,5
54750,936,6
54843,11514,50
54868,15380,3
54961,14037,28
55056,14088,11.25
55104,45211,1.25
55113,42242,250
55125,44446,11.25
55127,19037,243
55304,50177,30
55345,22081,3.75
55381,1987,11.25
55422,28967,114.5
55423,36311,3
55436,13718,7100
56381,2470,20
56470,10654,10
57108,24866,450
57201,25582,23
59068,3178,15
59804,8072,106.5
59911,8905,905
60010,46326,16
60044,10259,10000
60050,32000,19.5
60062,39917,10000
60093,19816,2930
60102,32749,25
60137,37857,35
60172,24097,4.5
60521,18095,250
60544,27709,1.25
60601,14513,10000
60611,33937,719.6
60638,57057,18.75
61054,3660,1.25
61568,4405,22.5
62062,8107,30
62832,8479,3.75
62933,1309,27
62948,13390,15
63021,56154,37.5
63026,45451,13.5
63088,8659,1.5
63101,3528,26.25
63108,20442,27900
63114,34862,11.25
63117,9290,4600
63123,50463,650
63301,51923,5
63367,25930,5
63701,38310,3.75
64055,34260,15
64082,18024,11.25
64083,23269,11.25
65203,58271,2477.25
65233,11785,22.5
65536,29288,15
65608,9334,8.75
65631,6563,5
65714,33646,4.5
65717,2708,16.5
65721,32788,3.75
65787,1526,30
65803,41897,12.5
65807,58366,0.5
65809,10611,753.75
66046,19564,30
66202,16894,15
66207,14907,4.5
66209,20387,5
66434,4594,11
66618,10278,5
67010,14447,0.25
67017,2021,60
67206,17393,10000
67220,13004,5000
68022,27039,52.5
68132,15271,10000
68333,8525,34
68502,27685,5
68701,30415,11.25
68723,666,1197.5
68801,29619,37.5
70125,18674,15
70130,14089,1000
70806,30180,11.25
70817,34491,550
71067,3778,400
71291,32670,7.5
71301,21634,8.75
71423,3803,400
72455,13147,3.75
72531,1176,31.5
72619,1811,22.5
72712,60096,6
72715,15537,8.75
72949,10613,662
73099,72074,9
73110,33431,3.75
73130,20400,5
74006,26660,243.75
74020,7453,74
74051,2266,11.25
74743,7997,37.5
74820,31293,11.25
74826,1430,4.5
75013,42956,90
75019,43137,755
75024,43041,950
75032,33956,2.5
75050,43190,7500
75056,59674,8.75
75061,53983,12.5
75067,67197,11.25
75080,53708,26.25
75156,16718,15
75219,24038,30279.6
75225,22108,15000
75287,55060,10
75559,5263,4.5
76001,37231,2800
76028,72493,10
76039,37896,5
76109,23725,4.5
76126,23844,3.75
76164,13628,11.25
76402,952,5
76655,8168,13.05
76673,1804,11.25
76691,6479,0.25
77002,17026,5000
77027,19171,500
77040,50343,25
77081,51781,5000
77083,78240,972.45
77318,18553,3.75
77375,60115,117.5
77386,60252,3.75
77429,90506,13.75
77479,95615,1750
77480,8344,100
77494,126310,29.25
77573,91454,50
77584,91993,50.7
77586,23003,12
77833,28507,3.75
78056,2024,12.5
78213,45124,11.25
78247,53597,10
78248,13822,1.75
78253,41900,2.5
78257,8113,20
78383,6079,41.25
78633,26632,3.75
78735,18211,1190
78753,60035,40.3
78759,45901,2000
79118,23668,11.25
79701,32692,13555.880000000001
79705,43119,20000
79762,45474,2900
79901,8821,10000
79905,22767,15
80104,32427,7
80113,23715,1000
80202,15813,595
80214,26021,89.1
80241,34856,18
80247,30161,6
80501,43773,0.25
80521,37796,15
80634,61810,3
80651,4352,13
80917,31648,4.5
80921,24725,15
82009,34666,300
82301,8815,88
82414,15383,5600
82501,19660,15.5
82609,18664,5
83204,20699,11.25
83301,58230,23.75
83318,17737,7.5
83501,35183,5
83607,24922,18.75
83646,68189,13.5
83704,40071,10
83854,44206,36.75
84003,51917,2900
84010,46326,8.75
84015,67245,15
84041,51512,4.5
84067,40009,3.75
84414,31210,94.5
84790,47849,3.75
85143,41329,36
85204,69792,6.25
85205,44079,28.75
85251,41592,15
85259,24119,7.5
85260,41192,7100
85331,31947,37.5
85332,1960,3.75
85338,51691,2.5
85383,58375,200
85614,24890,2.5
85718,26364,22.5
86335,4868,2.5
86403,19123,10
87112,41406,62
87935,1457,100
88310,36585,1.25
88345,8610,30
89084,29244,1024
89109,7854,10000
89123,62982,36
89129,56770,1800
89130,35263,15
89146,18969,15
89179,7807,63.75
89408,20982,3.75
89506,42742,15
90034,56416,3.75
90046,49828,700
90049,36610,10013.75
90077,8328,500
90210,19229,10000
90274,24541,666
90713,27905,3.75
91108,13175,8.75
91304,53637,25
91311,41811,20000
91335,80937,5
91344,55694,11.25
91750,34468,15
91768,35634,2.5
91792,29806,8.75
91910,74233,15
91941,33126,3.75
92020,57796,35
92021,71183,2.5
92065,36460,1.25
92107,31667,373
92115,63755,16.25
92253,41573,5
92262,28463,3.75
92264,20881,79
92284,25791,3.75
92285,2440,70
92325,8647,31.5
92335,99242,10
92337,39600,15
92339,1382,6.25
92392,56938,3.75
92504,62423,5
92530,56442,37.5
92614,27471,40000
92630,60804,400
92648,45328,9
92660,35409,16772.73
92663,22721,0.25
92677,65508,12.75
92703,66428,29.25
92807,36057,9
92883,36608,52.5
93311,46618,40000
93555,33925,1.25
93561,35133,8.75
93721,8475,27.5
93727,84656,10000
93933,25056,433.5
93955,34757,1.25
94063,36110,20000
94131,30458,19537.5
94509,69295,1.5
94521,42891,7.5
94536,74544,3.75
94580,29661,35
94608,31572,360
95062,36413,2
95113,2550,1364.8700000000001
95240,49439,75
95320,12990,3.75
95356,32387,11.25
95357,13011,250
95382,38029,12.5
95666,4692,10
95747,68541,10
96706,76081,110.7
96815,25940,107.5
96816,50300,3.75
97224,35949,15
97341,2628,9
97355,31118,50
97401,47985,7.5
97603,29797,5
97701,74255,4.5
98003,49445,7.5
98034,45009,6
98146,27622,3.75
98199,23444,11.25
98229,33548,11.25
98349,5090,7.5
98501,43584,9
98513,36473,18
98528,12812,11.25
98607,32897,20000
98665,27260,18.75
98671,23116,7.5
98684,31805,7.5
98926,34893,848
99203,21359,8.75
99206,40510,9
99611,14929,37
