GEOID,NAME,variable,estimate,moe,total
27253,ZCTA5 27253,income,30573,818,450
27258,ZCTA5 27258,income,7370,697,1875
27260,ZCTA5 27260,income,25505,984,1640.4
27262,ZCTA5 27262,income,24510,1299,14672.5
27263,ZCTA5 27263,income,21886,925,2345
27265,ZCTA5 27265,income,51477,1526,7799
27278,ZCTA5 27278,income,26884,1163,19498.25
27281,ZCTA5 27281,income,3433,674,3150
27282,ZCTA5 27282,income,17090,1089,15371
27283,ZCTA5 27283,income,3194,487,375
27284,ZCTA5 27284,income,55489,1397,709
27288,ZCTA5 27288,income,23436,726,385
27291,ZCTA5 27291,income,1616,566,0
27292,ZCTA5 27292,income,39360,1156,5
27295,ZCTA5 27295,income,38255,1389,2550
27298,ZCTA5 27298,income,10925,849,0
27299,ZCTA5 27299,income,6172,892,0
27301,ZCTA5 27301,income,9358,1218,0
27302,ZCTA5 27302,income,31280,1413,1525
27305,ZCTA5 27305,income,1624,274,0
27306,ZCTA5 27306,income,6428,522,0
27310,ZCTA5 27310,income,7253,318,180
27311,ZCTA5 27311,income,3521,465,0
27312,ZCTA5 27312,income,20508,956,9069.5
27313,ZCTA5 27313,income,6733,636,2500
27314,ZCTA5 27314,income,956,307,0
27315,ZCTA5 27315,income,1763,320,300
27316,ZCTA5 27316,income,8369,919,0
27317,ZCTA5 27317,income,16169,875,510
27320,ZCTA5 27320,income,38997,1102,3380
27325,ZCTA5 27325,income,7836,784,600
27326,ZCTA5 27326,income,2900,417,0
27330,ZCTA5 27330,income,40121,1079,5945.75
27332,ZCTA5 27332,income,30743,1584,1435
27340,ZCTA5 27340,income,43,48,0
27341,ZCTA5 27341,income,4810,658,0
27343,ZCTA5 27343,income,1772,460,1161.68
27344,ZCTA5 27344,income,19116,787,613.75
27349,ZCTA5 27349,income,5825,589,1990
27350,ZCTA5 27350,income,6412,814,200
27355,ZCTA5 27355,income,2394,559,1290
27356,ZCTA5 27356,income,2759,460,1600
27357,ZCTA5 27357,income,8901,787,100
27358,ZCTA5 27358,income,15028,665,6525
27360,ZCTA5 27360,income,45974,1284,2900
27370,ZCTA5 27370,income,14409,929,250
27371,ZCTA5 27371,income,8431,647,7025
27376,ZCTA5 27376,income,9802,989,4975
27377,ZCTA5 27377,income,8612,1259,0
27379,ZCTA5 27379,income,5246,757,125
27401,ZCTA5 27401,income,23388,1316,20465
27403,ZCTA5 27403,income,22867,971,410
27405,ZCTA5 27405,income,48879,2036,1725
27406,ZCTA5 27406,income,63199,2554,2708.75
27407,ZCTA5 27407,income,51900,1831,4536.25
27408,ZCTA5 27408,income,18323,751,35932
27409,ZCTA5 27409,income,17223,1263,2186.25
27410,ZCTA5 27410,income,55707,1643,36118.85
27455,ZCTA5 27455,income,28791,1288,16027.5
27501,ZCTA5 27501,income,21055,1157,2860
27502,ZCTA5 27502,income,41455,831,8239.5
27503,ZCTA5 27503,income,6377,922,1100
27504,ZCTA5 27504,income,15593,1433,1410
27505,ZCTA5 27505,income,6943,786,0
27507,ZCTA5 27507,income,1930,461,0
27508,ZCTA5 27508,income,1413,397,0
27509,ZCTA5 27509,income,6070,466,0
27510,ZCTA5 27510,income,15117,554,0
27511,ZCTA5 27511,income,34078,974,9280
27513,ZCTA5 27513,income,45542,1080,7763
27514,ZCTA5 27514,income,33208,1034,4443
27516,ZCTA5 27516,income,43036,1254,10475
27517,ZCTA5 27517,income,25355,869,86194.5
27518,ZCTA5 27518,income,20102,780,770
27519,ZCTA5 27519,income,56482,1114,5255
27520,ZCTA5 27520,income,42387,1891,2543.5
27521,ZCTA5 27521,income,6366,558,300
27522,ZCTA5 27522,income,12552,870,0
27523,ZCTA5 27523,income,12441,1107,925
27524,ZCTA5 27524,income,13675,1106,0
27525,ZCTA5 27525,income,14819,1028,300
27526,ZCTA5 27526,income,48581,1782,12975.5
27527,ZCTA5 27527,income,25337,1483,6138
27529,ZCTA5 27529,income,50683,1935,19433.5
27530,ZCTA5 27530,income,38940,1627,4380
27531,ZCTA5 27531,income,778,270,0
27534,ZCTA5 27534,income,32492,1283,3475
27536,ZCTA5 27536,income,16522,545,210
27537,ZCTA5 27537,income,23736,742,0
27539,ZCTA5 27539,income,23970,1384,1860
27540,ZCTA5 27540,income,39675,899,7336.05
27541,ZCTA5 27541,income,3915,765,300
27542,ZCTA5 27542,income,9288,982,10
27544,ZCTA5 27544,income,5131,619,0
27545,ZCTA5 27545,income,28676,1216,250
27546,ZCTA5 27546,income,21129,1036,2330
27549,ZCTA5 27549,income,26716,1373,2900
27551,ZCTA5 27551,income,1684,298,2500
27553,ZCTA5 27553,income,2725,475,0
27555,ZCTA5 27555,income,672,227,0
27556,ZCTA5 27556,income,238,108,0
27557,ZCTA5 27557,income,8205,913,0
27559,ZCTA5 27559,income,2622,558,350
27560,ZCTA5 27560,income,35800,1079,816
27562,ZCTA5 27562,income,2149,431,100
27563,ZCTA5 27563,income,4270,557,0
27565,ZCTA5 27565,income,25127,992,1370
27568,ZCTA5 27568,income,607,221,750
27569,ZCTA5 27569,income,7993,1040,200
27571,ZCTA5 27571,income,7407,207,900
27572,ZCTA5 27572,income,7081,676,250
27573,ZCTA5 27573,income,11391,682,0
27574,ZCTA5 27574,income,14036,854,280
27576,ZCTA5 27576,income,18222,1144,460
27577,ZCTA5 27577,income,26875,1276,5117.5
27581,ZCTA5 27581,income,4612,540,1
27582,ZCTA5 27582,income,409,227,0
27583,ZCTA5 27583,income,7073,802,0
27587,ZCTA5 27587,income,68491,1380,11998
27589,ZCTA5 27589,income,7938,544,0
27591,ZCTA5 27591,income,20562,1297,100
27592,ZCTA5 27592,income,15972,1386,137.5
27596,ZCTA5 27596,income,18043,1166,300
27597,ZCTA5 27597,income,24691,1629,0
27601,ZCTA5 27601,income,10525,638,3827.7200000000003
27603,ZCTA5 27603,income,54457,2066,1790
27604,ZCTA5 27604,income,48494,1833,3093.81
27605,ZCTA5 27605,income,5990,462,1118
27606,ZCTA5 27606,income,47478,1574,7030
27607,ZCTA5 27607,income,28874,1128,1995
27608,ZCTA5 27608,income,11203,606,66435
27609,ZCTA5 27609,income,33575,1400,74425.21
27610,ZCTA5 27610,income,79924,2136,1276.25
27612,ZCTA5 27612,income,39989,1417,8595
27613,ZCTA5 27613,income,42324,1398,13469.25
27614,ZCTA5 27614,income,32849,1177,13678
27615,ZCTA5 27615,income,43950,1266,19790
27616,ZCTA5 27616,income,55128,2147,7497.5
27617,ZCTA5 27617,income,20281,920,6213.57
27701,ZCTA5 27701,income,23112,1186,3265
27703,ZCTA5 27703,income,53733,2036,1011
27704,ZCTA5 27704,income,40392,2027,353.75
27705,ZCTA5 27705,income,49508,1523,3783.25
27707,ZCTA5 27707,income,51414,2005,12623
27709,ZCTA5 27709,income,1152,461,0
27712,ZCTA5 27712,income,21301,1023,1272
27713,ZCTA5 27713,income,54348,1518,13810
27801,ZCTA5 27801,income,20065,565,5557.5
27803,ZCTA5 27803,income,17905,1143,3715
27804,ZCTA5 27804,income,29519,912,5808.75
27805,ZCTA5 27805,income,4243,547,0
27806,ZCTA5 27806,income,2576,404,0
27807,ZCTA5 27807,income,6604,709,0
27808,ZCTA5 27808,income,2066,276,2150
27809,ZCTA5 27809,income,4747,649,550
27810,ZCTA5 27810,income,4045,596,1380
27812,ZCTA5 27812,income,2686,568,4000
27813,ZCTA5 27813,income,792,193,0
27814,ZCTA5 27814,income,1947,438,0
27816,ZCTA5 27816,income,2125,437,0
27817,ZCTA5 27817,income,7614,843,2225
27818,ZCTA5 27818,income,1699,490,0
27819,ZCTA5 27819,income,249,105,0
27820,ZCTA5 27820,income,2041,347,0
27821,ZCTA5 27821,income,225,138,0
27822,ZCTA5 27822,income,8225,739,250
27823,ZCTA5 27823,income,7950,574,0
27824,ZCTA5 27824,income,1797,406,0
27825,ZCTA5 27825,income,46,34,0
27826,ZCTA5 27826,income,924,229,0
27827,ZCTA5 27827,income,59,62,0
27828,ZCTA5 27828,income,9834,824,0
27829,ZCTA5 27829,income,1436,273,0
27830,ZCTA5 27830,income,4547,608,250
27831,ZCTA5 27831,income,3381,556,0
27832,ZCTA5 27832,income,2868,350,0
27834,ZCTA5 27834,income,57258,1613,8705
27837,ZCTA5 27837,income,7075,956,5
27839,ZCTA5 27839,income,3479,404,650
27840,ZCTA5 27840,income,328,110,0
27841,ZCTA5 27841,income,16,14,0
27842,ZCTA5 27842,income,1446,188,1418.75
27843,ZCTA5 27843,income,1053,379,0
27844,ZCTA5 27844,income,2846,215,0
27845,ZCTA5 27845,income,3192,548,0
27846,ZCTA5 27846,income,3096,391,0
27847,ZCTA5 27847,income,649,229,0
27849,ZCTA5 27849,income,1608,352,0
27850,ZCTA5 27850,income,7410,512,2000
27851,ZCTA5 27851,income,5458,557,0
27852,ZCTA5 27852,income,3061,420,0
27853,ZCTA5 27853,income,591,321,0
27855,ZCTA5 27855,income,6066,582,200
27856,ZCTA5 27856,income,17258,1142,959
27857,ZCTA5 27857,income,1037,206,205
27858,ZCTA5 27858,income,59182,1689,29621.25
27860,ZCTA5 27860,income,1663,413,1000
27861,ZCTA5 27861,income,44,33,0
27862,ZCTA5 27862,income,727,212,0
27863,ZCTA5 27863,income,12782,1020,0
27864,ZCTA5 27864,income,4652,514,0
27865,ZCTA5 27865,income,1963,413,0
27866,ZCTA5 27866,income,961,282,0
27869,ZCTA5 27869,income,1705,339,0
27870,ZCTA5 27870,income,25497,656,0
27871,ZCTA5 27871,income,4293,461,675
27872,ZCTA5 27872,income,535,155,0
27873,ZCTA5 27873,income,413,132,0
27874,ZCTA5 27874,income,3837,493,950
27875,ZCTA5 27875,income,477,272,0
27876,ZCTA5 27876,income,1218,303,0
27878,ZCTA5 27878,income,2045,550,0
27879,ZCTA5 27879,income,316,107,0
27880,ZCTA5 27880,income,3421,690,0
27881,ZCTA5 27881,income,146,151,0
27882,ZCTA5 27882,income,7972,937,45
27883,ZCTA5 27883,income,2850,396,220
27884,ZCTA5 27884,income,1332,546,0
27885,ZCTA5 27885,income,963,259,0
27886,ZCTA5 27886,income,20280,644,1297.5
27888,ZCTA5 27888,income,2261,350,0
27889,ZCTA5 27889,income,26637,954,3472.5
27890,ZCTA5 27890,income,2685,360,0
27891,ZCTA5 27891,income,5036,538,580
27892,ZCTA5 27892,income,14217,536,2550
27893,ZCTA5 27893,income,39531,1258,250
27896,ZCTA5 27896,income,20791,1302,5900
27897,ZCTA5 27897,income,1810,409,0
27909,ZCTA5 27909,income,39551,34,2766.25
27910,ZCTA5 27910,income,11691,764,0
27915,ZCTA5 27915,income,421,181,400
27916,ZCTA5 27916,income,860,271,0
27917,ZCTA5 27917,income,647,308,0
27919,ZCTA5 27919,income,1035,424,0
27920,ZCTA5 27920,income,1527,420,0
27921,ZCTA5 27921,income,4750,600,618.75
27922,ZCTA5 27922,income,687,197,0
27923,ZCTA5 27923,income,827,340,0
27924,ZCTA5 27924,income,3568,654,0
27925,ZCTA5 27925,income,4003,69,0
27926,ZCTA5 27926,income,1692,334,0
27927,ZCTA5 27927,income,947,163,700
27928,ZCTA5 27928,income,1717,324,0
27929,ZCTA5 27929,income,1787,393,0
27932,ZCTA5 27932,income,12129,420,5400
27935,ZCTA5 27935,income,1879,312,0
27936,ZCTA5 27936,income,953,247,0
27937,ZCTA5 27937,income,4448,442,0
27938,ZCTA5 27938,income,1233,271,0
27939,ZCTA5 27939,income,2862,482,0
27941,ZCTA5 27941,income,424,210,0
27942,ZCTA5 27942,income,658,186,0
27943,ZCTA5 27943,income,460,238,0
27944,ZCTA5 27944,income,11756,471,1850
27946,ZCTA5 27946,income,1022,261,0
27947,ZCTA5 27947,income,1259,379,0
27948,ZCTA5 27948,income,11245,480,8425
27949,ZCTA5 27949,income,7648,182,16908
27950,ZCTA5 27950,income,2048,295,25
27953,ZCTA5 27953,income,888,240,0
27954,ZCTA5 27954,income,7938,490,6550
27956,ZCTA5 27956,income,549,233,0
27957,ZCTA5 27957,income,1143,426,450
27958,ZCTA5 27958,income,11354,612,500
27959,ZCTA5 27959,income,2938,22,3875.22
27960,ZCTA5 27960,income,706,344,0
27962,ZCTA5 27962,income,7696,551,900
27964,ZCTA5 27964,income,661,237,0
27965,ZCTA5 27965,income,399,197,0
27966,ZCTA5 27966,income,818,267,950
27967,ZCTA5 27967,income,174,87,0
27968,ZCTA5 27968,income,141,96,265
27970,ZCTA5 27970,income,2446,465,120
27972,ZCTA5 27972,income,91,70,0
27973,ZCTA5 27973,income,1205,272,0
27974,ZCTA5 27974,income,1351,342,0
27976,ZCTA5 27976,income,4129,487,0
27978,ZCTA5 27978,income,184,95,0
27979,ZCTA5 27979,income,1473,259,0
27980,ZCTA5 27980,income,2018,452,2625
27981,ZCTA5 27981,income,1732,281,2900
27982,ZCTA5 27982,income,56,72,0
27983,ZCTA5 27983,income,8502,661,0
27985,ZCTA5 27985,income,390,144,0
27986,ZCTA5 27986,income,2362,289,0
28001,ZCTA5 28001,income,26557,655,4250
28006,ZCTA5 28006,income,1116,232,0
28007,ZCTA5 28007,income,720,232,0
28009,ZCTA5 28009,income,1183,220,0
28012,ZCTA5 28012,income,23830,868,5067
28016,ZCTA5 28016,income,13405,651,400
28017,ZCTA5 28017,income,730,200,0
28018,ZCTA5 28018,income,5234,709,0
28019,ZCTA5 28019,income,0,12,0
28020,ZCTA5 28020,income,2354,636,0
28021,ZCTA5 28021,income,14408,801,2201.25
28023,ZCTA5 28023,income,16129,1112,1615
28025,ZCTA5 28025,income,54425,1778,8261.25
28027,ZCTA5 28027,income,68716,1783,3937.5
28031,ZCTA5 28031,income,28077,569,9829
28032,ZCTA5 28032,income,3245,254,1750
28033,ZCTA5 28033,income,3132,595,0
28034,ZCTA5 28034,income,17386,966,650
28036,ZCTA5 28036,income,18266,622,730
28037,ZCTA5 28037,income,20619,778,1749
28039,ZCTA5 28039,income,82,79,0
28040,ZCTA5 28040,income,7441,664,0
28043,ZCTA5 28043,income,20339,1069,500
28052,ZCTA5 28052,income,35169,1176,0
28054,ZCTA5 28054,income,37876,1140,2509
28056,ZCTA5 28056,income,34373,1064,4493.75
28071,ZCTA5 28071,income,2667,484,640
28072,ZCTA5 28072,income,1527,311,0
28073,ZCTA5 28073,income,6541,866,0
28075,ZCTA5 28075,income,19099,556,100
28076,ZCTA5 28076,income,521,394,0
28077,ZCTA5 28077,income,467,141,0
28078,ZCTA5 28078,income,61043,974,7045.22
28079,ZCTA5 28079,income,37694,1035,24
28080,ZCTA5 28080,income,7857,796,825
28081,ZCTA5 28081,income,28116,1284,10
28083,ZCTA5 28083,income,25536,1218,1975
28086,ZCTA5 28086,income,25436,1022,2572.5
28088,ZCTA5 28088,income,2746,326,0
28089,ZCTA5 28089,income,227,74,0
28090,ZCTA5 28090,income,7820,752,350
28091,ZCTA5 28091,income,1975,341,0
28092,ZCTA5 28092,income,40517,1326,3059
28097,ZCTA5 28097,income,6078,406,388
28098,ZCTA5 28098,income,3632,100,0
28101,ZCTA5 28101,income,970,245,0
28102,ZCTA5 28102,income,95,62,0
28103,ZCTA5 28103,income,11281,861,3723.92
28104,ZCTA5 28104,income,31773,763,1985
28105,ZCTA5 28105,income,46180,1095,1833.75
28107,ZCTA5 28107,income,8024,758,750
28108,ZCTA5 28108,income,160,171,0
28109,ZCTA5 28109,income,334,80,0
28110,ZCTA5 28110,income,53733,1089,3535
28112,ZCTA5 28112,income,26831,1172,13037.5
28114,ZCTA5 28114,income,7475,1000,600
28115,ZCTA5 28115,income,37673,1310,880
28117,ZCTA5 28117,income,40855,1109,26907
28119,ZCTA5 28119,income,2391,471,0
28120,ZCTA5 28120,income,21582,814,600
28124,ZCTA5 28124,income,5946,567,500
28125,ZCTA5 28125,income,2421,368,0
28127,ZCTA5 28127,income,7704,589,5900
28128,ZCTA5 28128,income,7519,612,1150
28129,ZCTA5 28129,income,5416,476,15
28133,ZCTA5 28133,income,2420,395,0
28134,ZCTA5 28134,income,11037,509,15000
28135,ZCTA5 28135,income,6245,542,0
28137,ZCTA5 28137,income,3181,489,0
28138,ZCTA5 28138,income,10160,818,0
28139,ZCTA5 28139,income,20467,1036,651
28144,ZCTA5 28144,income,24858,1000,700
28146,ZCTA5 28146,income,28420,1245,1100
28147,ZCTA5 28147,income,23495,1021,250
28150,ZCTA5 28150,income,26965,1384,4856
28152,ZCTA5 28152,income,24523,1289,0
28159,ZCTA5 28159,income,2959,127,0
28160,ZCTA5 28160,income,3825,182,100
28163,ZCTA5 28163,income,5275,448,2500
28164,ZCTA5 28164,income,15623,675,1167.5
28166,ZCTA5 28166,income,9651,605,325
28167,ZCTA5 28167,income,2732,685,0
28168,ZCTA5 28168,income,10415,1063,0
28169,ZCTA5 28169,income,202,96,0
28170,ZCTA5 28170,income,11187,727,0
28173,ZCTA5 28173,income,59559,1098,65520.75
28174,ZCTA5 28174,income,9496,552,0
28202,ZCTA5 28202,income,13498,765,24500
28203,ZCTA5 28203,income,16655,742,1233
28204,ZCTA5 28204,income,7199,433,0
28205,ZCTA5 28205,income,48798,1441,5
28206,ZCTA5 28206,income,12036,774,0
28207,ZCTA5 28207,income,9986,604,45886
28208,ZCTA5 28208,income,40284,2029,150
28209,ZCTA5 28209,income,23533,997,4721.86
28210,ZCTA5 28210,income,48333,1448,37362.34
28211,ZCTA5 28211,income,31121,1056,18778
28212,ZCTA5 28212,income,47903,1716,102
