zip,total,grand_total,percent
20735,49239.74,20328513.18,0.24222007563467068
20736,17574.63,20328513.18,0.08645310084601082
20737,22759.88,20328513.18,0.11196037702546824
20738,662.5,20328513.18,0.003258969281884294
20740,55985.85,20328513.18,0.2754055326342366
20741,16193.2,20328513.18,0.07965757188740943
20742,444,20328513.18,0.0021841243187269836
20743,21754.45,20328513.18,0.1070144668593023
20744,96990.27,20328513.18,0.477114431051568
20745,37537.44,20328513.18,0.18465413415935814
20746,17308.44,20328513.18,0.08514365928654699
20747,24257.35,20328513.18,0.11932672982628825
20748,36519.45,20328513.18,0.17964643885480658
20749,3599,20328513.18,0.0177041968988703
20750,2515.76,20328513.18,0.012375523865046386
20751,10899.08,20328513.18,0.05361474252196145
20752,275,20328513.18,0.0013527797019142352
20753,1117,20328513.18,0.005494745189229821
20754,7766.02,20328513.18,0.03820259716603633
20755,2158.54,20328513.18,0.010618287628254376
20756,25,20328513.18,1.229799729012941e-4
20757,150,20328513.18,7.378798374077646e-4
20758,1886.29,20328513.18,0.009279035723359282
20759,25238.81,20328513.18,0.12415472679443644
20760,27.5,20328513.18,1.352779701914235e-4
20762,728,20328513.18,0.0035811768108856847
20763,6937.68,20328513.18,0.034127827935914005
20764,13764.1,20328513.18,0.06770834580042809
20765,2040,20328513.18,0.010035165788745599
20768,642.5,20328513.18,0.0031605853035632583
20769,40900.44,20328513.18,0.20119740011404022
20770,94850.85,20328513.18,0.4665901985065885
20772,77618.04,20328513.18,0.38181857823406246
20773,640.3,20328513.18,0.0031497630659479445
20774,87764.19,20328513.18,0.4317295083161611
20775,335,20328513.18,0.0016479316368773408
20776,7794.5,20328513.18,0.038342695951165476
20777,25644.29,20328513.18,0.1261493635709171
20778,3251.97,20328513.18,0.015997087299032854
20779,16548.51,20328513.18,0.08140541245427177
20781,44207.49,20328513.18,0.2174654368893692
20782,102910.54,20328513.18,0.5062374168183017
20783,23054.53,20328513.18,0.11340981898608288
20784,16966.52,20328513.18,0.08346168679317058
20785,47805.02,20328513.18,0.23516240256583287
20786,4.4,20328513.18,2.1644475230627763e-5
20787,248,20328513.18,0.0012199613311808376
20791,754.5,20328513.18,0.0037115355821610557
20792,2698.4599999999996,20328513.18,0.013274261507009041
20794,9360.8,20328513.18,0.04604763721337735
20795,246,20328513.18,0.0012101229333487341
20798,25,20328513.18,1.229799729012941e-4
20800,275,20328513.18,0.0013527797019142352
20801,30,20328513.18,1.4757596748155293e-4
20802,75,20328513.18,3.689399187038823e-4
20803,161.5,20328513.18,7.944506249423599e-4
20804,50,20328513.18,2.459599458025882e-4
20805,2918.5,20328513.18,0.014356682036497072
20806,117,20328513.18,5.755462731780565e-4
20807,75,20328513.18,3.689399187038823e-4
20810,4162.6,20328513.18,0.020476657407957073
20812,9983.2,20328513.18,0.04910934661872797
20813,5800,20328513.18,0.02853135371310023
20814,852308.93,20328513.18,4.19267716459724
20815,2476159.11,20328513.18,12.1807192098837
20816,626049.57,20328513.18,3.079662366138673
20817,1340696.1,20328513.18,6.595150801874829
20818,92990.91,20328513.18,0.4574407836746672
20819,25,20328513.18,1.229799729012941e-4
20824,2735.5,20328513.18,0.013456468634859602
20825,1118.19,20328513.18,0.005500599035939922
20827,1020.98,20328513.18,0.00502240370931053
20830,880,20328513.18,0.004328895046125552
20832,115354.08,20328513.18,0.5674496652981486
20833,34761.42,20328513.18,0.17099833958442012
20834,208,20328513.18,0.0010231933745387671
20835,299.72,20328513.18,0.0014743822991190349
20836,339,20328513.18,0.001667608432541548
20837,24140.17,20328513.18,0.1187502980973053
20838,5862.5,20328513.18,0.028838803645353468
20839,250,20328513.18,0.001229799729012941
20840,20,20328513.18,9.838397832103528e-5
20841,51763.85,20328513.18,0.2546366748106661
20842,11821.21,20328513.18,0.05815088341842027
20843,153,20328513.18,7.526374341559199e-4
20846,15,20328513.18,7.378798374077646e-5
20847,50,20328513.18,2.459599458025882e-4
20848,310,20328513.18,0.001524951663976047
20849,1622.86,20328513.18,0.007983171152903765
20850,362622.99,20328513.18,1.7838146193434496
20851,26691.79,20328513.18,0.1313022244354813
20852,432156.09,20328513.18,2.1258617694931687
20853,120246.59,20328513.18,0.5915168951869209
20854,1032443.47,20328513.18,5.078794798508722
20855,83307.91,20328513.18,0.4098081805705379
20859,4594.5,20328513.18,0.02260125941979983
20860,27266.39,20328513.18,0.13412879613264467
20861,19561.2,20328513.18,0.09622543383667177
20862,1383.5,20328513.18,0.0068057117003576155
20864,111.5,20328513.18,5.484906791397717e-4
20865,700,20328513.18,0.0034434392412362354
20866,38466.98,20328513.18,0.1892267263197849
20868,2733.27,20328513.18,0.013445498821276804
20869,41.25,20328513.18,2.0291695528713526e-4
20870,27,20328513.18,1.3281837073339764e-4
20871,28163.28,20328513.18,0.1385407764484623
20872,25675.41,20328513.18,0.12630244904118462
20874,106671.36,20328513.18,0.5247376384857675
20875,2971.8,20328513.18,0.014618875338722633
20876,41433.01,20328513.18,0.20381721788076193
20877,75438.76,20328513.18,0.37109826642028915
